x,y,step
17,113,-6533
18,113,-6532
18,112,-6531
18,111,-6530
19,111,-6529
19,110,-6528
20,110,-6527
20,111,-6526
20,112,-6525
20,113,-6524
19,113,-6523
19,114,-6522
20,114,-6521
21,114,-6520
21,113,-6519
21,112,-6518
21,111,-6517
21,110,-6516
21,109,-6515
21,108,-6514
22,108,-6513
23,108,-6512
24,108,-6511
24,109,-6510
23,109,-6509
23,110,-6508
22,110,-6507
22,111,-6506
23,111,-6505
23,112,-6504
23,113,-6503
22,113,-6502
22,114,-6501
22,115,-6500
21,115,-6499
21,116,-6498
20,116,-6497
19,116,-6496
19,115,-6495
18,115,-6494
17,115,-6493
16,115,-6492
16,116,-6491
16,117,-6490
17,117,-6489
17,116,-6488
18,116,-6487
18,117,-6486
19,117,-6485
19,118,-6484
20,118,-6483
20,117,-6482
21,117,-6481
21,118,-6480
22,118,-6479
22,117,-6478
22,116,-6477
23,116,-6476
23,115,-6475
23,114,-6474
24,114,-6473
24,113,-6472
24,112,-6471
24,111,-6470
24,110,-6469
25,110,-6468
25,109,-6467
25,108,-6466
25,107,-6465
26,107,-6464
27,107,-6463
27,108,-6462
28,108,-6461
28,107,-6460
29,107,-6459
29,108,-6458
30,108,-6457
30,107,-6456
31,107,-6455
31,108,-6454
31,109,-6453
30,109,-6452
29,109,-6451
28,109,-6450
27,109,-6449
26,109,-6448
26,110,-6447
27,110,-6446
28,110,-6445
29,110,-6444
30,110,-6443
31,110,-6442
31,111,-6441
30,111,-6440
29,111,-6439
28,111,-6438
27,111,-6437
26,111,-6436
25,111,-6435
25,112,-6434
26,112,-6433
27,112,-6432
28,112,-6431
28,113,-6430
29,113,-6429
29,112,-6428
30,112,-6427
31,112,-6426
31,113,-6425
31,114,-6424
30,114,-6423
29,114,-6422
28,114,-6421
28,115,-6420
27,115,-6419
27,114,-6418
27,113,-6417
26,113,-6416
25,113,-6415
25,114,-6414
26,114,-6413
26,115,-6412
25,115,-6411
24,115,-6410
24,116,-6409
24,117,-6408
25,117,-6407
25,116,-6406
26,116,-6405
27,116,-6404
27,117,-6403
26,117,-6402
26,118,-6401
25,118,-6400
25,119,-6399
26,119,-6398
26,120,-6397
25,120,-6396
24,120,-6395
24,119,-6394
24,118,-6393
23,118,-6392
23,119,-6391
22,119,-6390
21,119,-6389
20,119,-6388
20,120,-6387
21,120,-6386
22,120,-6385
23,120,-6384
23,121,-6383
24,121,-6382
25,121,-6381
25,122,-6380
25,123,-6379
24,123,-6378
24,122,-6377
23,122,-6376
23,123,-6375
23,124,-6374
24,124,-6373
25,124,-6372
25,125,-6371
26,125,-6370
26,124,-6369
26,123,-6368
26,122,-6367
26,121,-6366
27,121,-6365
27,120,-6364
27,119,-6363
27,118,-6362
28,118,-6361
28,119,-6360
28,120,-6359
28,121,-6358
28,122,-6357
28,123,-6356
27,123,-6355
27,124,-6354
27,125,-6353
27,126,-6352
28,126,-6351
29,126,-6350
29,125,-6349
28,125,-6348
28,124,-6347
29,124,-6346
30,124,-6345
30,123,-6344
29,123,-6343
29,122,-6342
29,121,-6341
29,120,-6340
29,119,-6339
29,118,-6338
29,117,-6337
28,117,-6336
28,116,-6335
29,116,-6334
29,115,-6333
30,115,-6332
30,116,-6331
30,117,-6330
30,118,-6329
30,119,-6328
30,120,-6327
31,120,-6326
31,119,-6325
31,118,-6324
31,117,-6323
32,117,-6322
32,118,-6321
32,119,-6320
33,119,-6319
33,120,-6318
34,120,-6317
34,119,-6316
34,118,-6315
33,118,-6314
33,117,-6313
33,116,-6312
32,116,-6311
31,116,-6310
31,115,-6309
32,115,-6308
32,114,-6307
33,114,-6306
33,115,-6305
34,115,-6304
34,114,-6303
34,113,-6302
33,113,-6301
32,113,-6300
32,112,-6299
32,111,-6298
32,110,-6297
32,109,-6296
32,108,-6295
32,107,-6294
33,107,-6293
33,108,-6292
33,109,-6291
33,110,-6290
33,111,-6289
33,112,-6288
34,112,-6287
34,111,-6286
34,110,-6285
34,109,-6284
34,108,-6283
34,107,-6282
34,106,-6281
35,106,-6280
35,107,-6279
36,107,-6278
36,108,-6277
35,108,-6276
35,109,-6275
36,109,-6274
36,110,-6273
35,110,-6272
35,111,-6271
36,111,-6270
37,111,-6269
37,112,-6268
36,112,-6267
35,112,-6266
35,113,-6265
36,113,-6264
36,114,-6263
35,114,-6262
35,115,-6261
36,115,-6260
36,116,-6259
35,116,-6258
34,116,-6257
34,117,-6256
35,117,-6255
36,117,-6254
36,118,-6253
35,118,-6252
35,119,-6251
36,119,-6250
36,120,-6249
35,120,-6248
35,121,-6247
34,121,-6246
33,121,-6245
32,121,-6244
31,121,-6243
30,121,-6242
30,122,-6241
31,122,-6240
31,123,-6239
31,124,-6238
31,125,-6237
30,125,-6236
30,126,-6235
31,126,-6234
32,126,-6233
32,125,-6232
32,124,-6231
32,123,-6230
32,122,-6229
33,122,-6228
33,123,-6227
34,123,-6226
34,122,-6225
35,122,-6224
35,123,-6223
36,123,-6222
36,124,-6221
36,125,-6220
35,125,-6219
34,125,-6218
34,124,-6217
33,124,-6216
33,125,-6215
33,126,-6214
34,126,-6213
34,127,-6212
34,128,-6211
34,129,-6210
35,129,-6209
35,128,-6208
35,127,-6207
35,126,-6206
36,126,-6205
37,126,-6204
37,127,-6203
37,128,-6202
38,128,-6201
38,127,-6200
38,126,-6199
38,125,-6198
37,125,-6197
37,124,-6196
37,123,-6195
38,123,-6194
38,122,-6193
37,122,-6192
36,122,-6191
36,121,-6190
37,121,-6189
37,120,-6188
37,119,-6187
37,118,-6186
37,117,-6185
38,117,-6184
38,118,-6183
38,119,-6182
38,120,-6181
38,121,-6180
39,121,-6179
39,122,-6178
39,123,-6177
39,124,-6176
40,124,-6175
40,123,-6174
40,122,-6173
40,121,-6172
40,120,-6171
39,120,-6170
39,119,-6169
39,118,-6168
39,117,-6167
40,117,-6166
40,116,-6165
39,116,-6164
38,116,-6163
37,116,-6162
37,115,-6161
38,115,-6160
38,114,-6159
37,114,-6158
37,113,-6157
38,113,-6156
38,112,-6155
38,111,-6154
38,110,-6153
37,110,-6152
37,109,-6151
37,108,-6150
37,107,-6149
37,106,-6148
36,106,-6147
36,105,-6146
37,105,-6145
37,104,-6144
38,104,-6143
38,105,-6142
39,105,-6141
39,106,-6140
38,106,-6139
38,107,-6138
39,107,-6137
39,108,-6136
38,108,-6135
38,109,-6134
39,109,-6133
39,110,-6132
39,111,-6131
39,112,-6130
39,113,-6129
39,114,-6128
39,115,-6127
40,115,-6126
40,114,-6125
40,113,-6124
40,112,-6123
40,111,-6122
41,111,-6121
41,112,-6120
41,113,-6119
41,114,-6118
42,114,-6117
42,113,-6116
42,112,-6115
42,111,-6114
42,110,-6113
41,110,-6112
40,110,-6111
40,109,-6110
41,109,-6109
41,108,-6108
40,108,-6107
40,107,-6106
41,107,-6105
41,106,-6104
40,106,-6103
40,105,-6102
40,104,-6101
39,104,-6100
39,103,-6099
40,103,-6098
41,103,-6097
41,104,-6096
41,105,-6095
42,105,-6094
42,104,-6093
42,103,-6092
42,102,-6091
41,102,-6090
40,102,-6089
40,101,-6088
39,101,-6087
39,100,-6086
40,100,-6085
41,100,-6084
41,101,-6083
42,101,-6082
42,100,-6081
43,100,-6080
43,99,-6079
42,99,-6078
41,99,-6077
41,98,-6076
42,98,-6075
43,98,-6074
43,97,-6073
43,96,-6072
44,96,-6071
44,97,-6070
44,98,-6069
45,98,-6068
45,97,-6067
45,96,-6066
45,95,-6065
45,94,-6064
46,94,-6063
46,95,-6062
46,96,-6061
46,97,-6060
46,98,-6059
47,98,-6058
47,97,-6057
47,96,-6056
47,95,-6055
48,95,-6054
48,96,-6053
48,97,-6052
48,98,-6051
48,99,-6050
47,99,-6049
47,100,-6048
46,100,-6047
46,99,-6046
45,99,-6045
44,99,-6044
44,100,-6043
45,100,-6042
45,101,-6041
44,101,-6040
43,101,-6039
43,102,-6038
44,102,-6037
45,102,-6036
46,102,-6035
46,101,-6034
47,101,-6033
47,102,-6032
47,103,-6031
46,103,-6030
45,103,-6029
44,103,-6028
43,103,-6027
43,104,-6026
43,105,-6025
43,106,-6024
42,106,-6023
42,107,-6022
42,108,-6021
43,108,-6020
43,107,-6019
44,107,-6018
44,108,-6017
44,109,-6016
43,109,-6015
43,110,-6014
44,110,-6013
44,111,-6012
45,111,-6011
45,110,-6010
46,110,-6009
46,111,-6008
46,112,-6007
45,112,-6006
45,113,-6005
44,113,-6004
44,112,-6003
43,112,-6002
43,113,-6001
43,114,-6000
44,114,-5999
45,114,-5998
45,115,-5997
44,115,-5996
43,115,-5995
42,115,-5994
41,115,-5993
41,116,-5992
42,116,-5991
43,116,-5990
43,117,-5989
44,117,-5988
44,116,-5987
45,116,-5986
45,117,-5985
45,118,-5984
44,118,-5983
43,118,-5982
42,118,-5981
42,117,-5980
41,117,-5979
41,118,-5978
40,118,-5977
40,119,-5976
41,119,-5975
41,120,-5974
41,121,-5973
41,122,-5972
41,123,-5971
42,123,-5970
42,122,-5969
42,121,-5968
42,120,-5967
42,119,-5966
43,119,-5965
43,120,-5964
43,121,-5963
43,122,-5962
43,123,-5961
43,124,-5960
44,124,-5959
44,123,-5958
44,122,-5957
44,121,-5956
44,120,-5955
44,119,-5954
45,119,-5953
45,120,-5952
45,121,-5951
45,122,-5950
45,123,-5949
45,124,-5948
45,125,-5947
46,125,-5946
46,124,-5945
46,123,-5944
46,122,-5943
46,121,-5942
46,120,-5941
46,119,-5940
47,119,-5939
47,120,-5938
48,120,-5937
48,121,-5936
49,121,-5935
49,122,-5934
50,122,-5933
50,121,-5932
50,120,-5931
49,120,-5930
49,119,-5929
48,119,-5928
48,118,-5927
47,118,-5926
46,118,-5925
46,117,-5924
47,117,-5923
47,116,-5922
46,116,-5921
46,115,-5920
47,115,-5919
47,114,-5918
46,114,-5917
46,113,-5916
47,113,-5915
47,112,-5914
47,111,-5913
47,110,-5912
47,109,-5911
46,109,-5910
45,109,-5909
45,108,-5908
45,107,-5907
46,107,-5906
46,108,-5905
47,108,-5904
47,107,-5903
47,106,-5902
46,106,-5901
45,106,-5900
44,106,-5899
44,105,-5898
45,105,-5897
45,104,-5896
46,104,-5895
46,105,-5894
47,105,-5893
47,104,-5892
48,104,-5891
48,105,-5890
48,106,-5889
49,106,-5888
49,105,-5887
50,105,-5886
50,106,-5885
50,107,-5884
49,107,-5883
48,107,-5882
48,108,-5881
48,109,-5880
48,110,-5879
48,111,-5878
48,112,-5877
48,113,-5876
48,114,-5875
48,115,-5874
48,116,-5873
48,117,-5872
49,117,-5871
49,116,-5870
49,115,-5869
49,114,-5868
49,113,-5867
49,112,-5866
49,111,-5865
49,110,-5864
49,109,-5863
49,108,-5862
50,108,-5861
50,109,-5860
50,110,-5859
51,110,-5858
51,109,-5857
51,108,-5856
51,107,-5855
52,107,-5854
52,108,-5853
52,109,-5852
52,110,-5851
52,111,-5850
51,111,-5849
50,111,-5848
50,112,-5847
50,113,-5846
50,114,-5845
50,115,-5844
50,116,-5843
51,116,-5842
51,115,-5841
51,114,-5840
51,113,-5839
51,112,-5838
52,112,-5837
52,113,-5836
52,114,-5835
53,114,-5834
53,113,-5833
53,112,-5832
53,111,-5831
53,110,-5830
53,109,-5829
53,108,-5828
53,107,-5827
53,106,-5826
52,106,-5825
51,106,-5824
51,105,-5823
52,105,-5822
52,104,-5821
52,103,-5820
51,103,-5819
50,103,-5818
50,104,-5817
49,104,-5816
49,103,-5815
48,103,-5814
48,102,-5813
48,101,-5812
48,100,-5811
49,100,-5810
49,101,-5809
49,102,-5808
50,102,-5807
51,102,-5806
52,102,-5805
52,101,-5804
51,101,-5803
50,101,-5802
50,100,-5801
50,99,-5800
49,99,-5799
49,98,-5798
50,98,-5797
50,97,-5796
49,97,-5795
49,96,-5794
49,95,-5793
50,95,-5792
50,96,-5791
51,96,-5790
51,97,-5789
51,98,-5788
51,99,-5787
51,100,-5786
52,100,-5785
52,99,-5784
52,98,-5783
52,97,-5782
52,96,-5781
52,95,-5780
52,94,-5779
51,94,-5778
50,94,-5777
49,94,-5776
48,94,-5775
48,93,-5774
49,93,-5773
50,93,-5772
50,92,-5771
51,92,-5770
51,93,-5769
52,93,-5768
52,92,-5767
52,91,-5766
51,91,-5765
50,91,-5764
49,91,-5763
49,92,-5762
48,92,-5761
48,91,-5760
48,90,-5759
49,90,-5758
50,90,-5757
51,90,-5756
51,89,-5755
51,88,-5754
51,87,-5753
52,87,-5752
52,88,-5751
53,88,-5750
53,89,-5749
52,89,-5748
52,90,-5747
53,90,-5746
53,91,-5745
54,91,-5744
54,92,-5743
53,92,-5742
53,93,-5741
54,93,-5740
54,94,-5739
53,94,-5738
53,95,-5737
54,95,-5736
54,96,-5735
53,96,-5734
53,97,-5733
53,98,-5732
54,98,-5731
55,98,-5730
55,99,-5729
54,99,-5728
53,99,-5727
53,100,-5726
53,101,-5725
54,101,-5724
54,100,-5723
55,100,-5722
56,100,-5721
56,101,-5720
55,101,-5719
55,102,-5718
54,102,-5717
53,102,-5716
53,103,-5715
54,103,-5714
54,104,-5713
53,104,-5712
53,105,-5711
54,105,-5710
54,106,-5709
54,107,-5708
54,108,-5707
54,109,-5706
54,110,-5705
54,111,-5704
54,112,-5703
54,113,-5702
54,114,-5701
54,115,-5700
53,115,-5699
52,115,-5698
52,116,-5697
52,117,-5696
51,117,-5695
50,117,-5694
50,118,-5693
51,118,-5692
52,118,-5691
52,119,-5690
51,119,-5689
51,120,-5688
51,121,-5687
52,121,-5686
52,120,-5685
53,120,-5684
53,119,-5683
53,118,-5682
53,117,-5681
53,116,-5680
54,116,-5679
54,117,-5678
54,118,-5677
54,119,-5676
54,120,-5675
55,120,-5674
55,119,-5673
55,118,-5672
55,117,-5671
55,116,-5670
55,115,-5669
55,114,-5668
55,113,-5667
55,112,-5666
55,111,-5665
56,111,-5664
56,110,-5663
55,110,-5662
55,109,-5661
56,109,-5660
56,108,-5659
55,108,-5658
55,107,-5657
56,107,-5656
56,106,-5655
55,106,-5654
55,105,-5653
56,105,-5652
56,104,-5651
55,104,-5650
55,103,-5649
56,103,-5648
56,102,-5647
57,102,-5646
57,101,-5645
57,100,-5644
57,99,-5643
57,98,-5642
56,98,-5641
56,97,-5640
55,97,-5639
55,96,-5638
56,96,-5637
56,95,-5636
55,95,-5635
55,94,-5634
56,94,-5633
56,93,-5632
55,93,-5631
55,92,-5630
55,91,-5629
55,90,-5628
55,89,-5627
54,89,-5626
54,88,-5625
55,88,-5624
55,87,-5623
54,87,-5622
54,86,-5621
55,86,-5620
55,85,-5619
54,85,-5618
54,84,-5617
54,83,-5616
53,83,-5615
52,83,-5614
52,82,-5613
53,82,-5612
53,81,-5611
52,81,-5610
52,80,-5609
53,80,-5608
54,80,-5607
54,79,-5606
55,79,-5605
55,78,-5604
56,78,-5603
56,79,-5602
56,80,-5601
55,80,-5600
55,81,-5599
54,81,-5598
54,82,-5597
55,82,-5596
55,83,-5595
55,84,-5594
56,84,-5593
57,84,-5592
57,83,-5591
56,83,-5590
56,82,-5589
57,82,-5588
57,81,-5587
57,80,-5586
57,79,-5585
57,78,-5584
58,78,-5583
58,79,-5582
59,79,-5581
59,78,-5580
60,78,-5579
60,79,-5578
60,80,-5577
59,80,-5576
58,80,-5575
58,81,-5574
59,81,-5573
60,81,-5572
60,82,-5571
59,82,-5570
58,82,-5569
58,83,-5568
58,84,-5567
59,84,-5566
60,84,-5565
60,83,-5564
61,83,-5563
61,82,-5562
61,81,-5561
62,81,-5560
62,80,-5559
63,80,-5558
64,80,-5557
64,81,-5556
63,81,-5555
63,82,-5554
62,82,-5553
62,83,-5552
62,84,-5551
61,84,-5550
61,85,-5549
61,86,-5548
60,86,-5547
60,85,-5546
59,85,-5545
58,85,-5544
57,85,-5543
56,85,-5542
56,86,-5541
56,87,-5540
57,87,-5539
57,88,-5538
56,88,-5537
56,89,-5536
57,89,-5535
58,89,-5534
58,88,-5533
58,87,-5532
58,86,-5531
59,86,-5530
59,87,-5529
60,87,-5528
60,88,-5527
59,88,-5526
59,89,-5525
59,90,-5524
59,91,-5523
58,91,-5522
58,90,-5521
57,90,-5520
56,90,-5519
56,91,-5518
56,92,-5517
57,92,-5516
57,93,-5515
58,93,-5514
58,94,-5513
57,94,-5512
57,95,-5511
58,95,-5510
58,96,-5509
57,96,-5508
57,97,-5507
58,97,-5506
58,98,-5505
58,99,-5504
58,100,-5503
58,101,-5502
58,102,-5501
58,103,-5500
57,103,-5499
57,104,-5498
57,105,-5497
57,106,-5496
58,106,-5495
58,105,-5494
59,105,-5493
59,106,-5492
59,107,-5491
58,107,-5490
57,107,-5489
57,108,-5488
58,108,-5487
58,109,-5486
57,109,-5485
57,110,-5484
58,110,-5483
58,111,-5482
58,112,-5481
57,112,-5480
57,113,-5479
56,113,-5478
56,114,-5477
56,115,-5476
56,116,-5475
56,117,-5474
56,118,-5473
56,119,-5472
56,120,-5471
56,121,-5470
55,121,-5469
54,121,-5468
53,121,-5467
53,122,-5466
52,122,-5465
52,123,-5464
51,123,-5463
50,123,-5462
49,123,-5461
48,123,-5460
48,122,-5459
47,122,-5458
47,123,-5457
47,124,-5456
48,124,-5455
49,124,-5454
49,125,-5453
48,125,-5452
47,125,-5451
47,126,-5450
46,126,-5449
46,127,-5448
45,127,-5447
44,127,-5446
44,128,-5445
45,128,-5444
45,129,-5443
46,129,-5442
46,128,-5441
47,128,-5440
47,127,-5439
48,127,-5438
48,126,-5437
49,126,-5436
49,127,-5435
49,128,-5434
48,128,-5433
48,129,-5432
49,129,-5431
49,130,-5430
50,130,-5429
50,129,-5428
50,128,-5427
50,127,-5426
50,126,-5425
51,126,-5424
51,125,-5423
50,125,-5422
50,124,-5421
51,124,-5420
52,124,-5419
52,125,-5418
52,126,-5417
53,126,-5416
53,125,-5415
53,124,-5414
53,123,-5413
54,123,-5412
54,122,-5411
55,122,-5410
56,122,-5409
56,123,-5408
55,123,-5407
55,124,-5406
54,124,-5405
54,125,-5404
55,125,-5403
55,126,-5402
54,126,-5401
54,127,-5400
53,127,-5399
52,127,-5398
51,127,-5397
51,128,-5396
52,128,-5395
53,128,-5394
53,129,-5393
52,129,-5392
51,129,-5391
51,130,-5390
52,130,-5389
53,130,-5388
53,131,-5387
53,132,-5386
53,133,-5385
52,133,-5384
52,134,-5383
53,134,-5382
54,134,-5381
55,134,-5380
55,133,-5379
54,133,-5378
54,132,-5377
55,132,-5376
55,131,-5375
54,131,-5374
54,130,-5373
55,130,-5372
56,130,-5371
56,129,-5370
55,129,-5369
54,129,-5368
54,128,-5367
55,128,-5366
55,127,-5365
56,127,-5364
56,128,-5363
57,128,-5362
57,127,-5361
58,127,-5360
58,126,-5359
59,126,-5358
60,126,-5357
60,125,-5356
59,125,-5355
58,125,-5354
57,125,-5353
57,126,-5352
56,126,-5351
56,125,-5350
56,124,-5349
57,124,-5348
57,123,-5347
57,122,-5346
57,121,-5345
57,120,-5344
57,119,-5343
57,118,-5342
57,117,-5341
57,116,-5340
58,116,-5339
58,117,-5338
58,118,-5337
58,119,-5336
58,120,-5335
58,121,-5334
58,122,-5333
58,123,-5332
58,124,-5331
59,124,-5330
59,123,-5329
60,123,-5328
60,122,-5327
59,122,-5326
59,121,-5325
59,120,-5324
60,120,-5323
60,121,-5322
61,121,-5321
61,120,-5320
61,119,-5319
60,119,-5318
59,119,-5317
59,118,-5316
59,117,-5315
59,116,-5314
60,116,-5313
60,117,-5312
60,118,-5311
61,118,-5310
61,117,-5309
61,116,-5308
61,115,-5307
60,115,-5306
60,114,-5305
59,114,-5304
59,115,-5303
58,115,-5302
57,115,-5301
57,114,-5300
58,114,-5299
58,113,-5298
59,113,-5297
59,112,-5296
59,111,-5295
59,110,-5294
59,109,-5293
59,108,-5292
60,108,-5291
60,107,-5290
61,107,-5289
61,106,-5288
60,106,-5287
60,105,-5286
61,105,-5285
61,104,-5284
60,104,-5283
59,104,-5282
59,103,-5281
59,102,-5280
59,101,-5279
59,100,-5278
59,99,-5277
60,99,-5276
60,98,-5275
59,98,-5274
59,97,-5273
60,97,-5272
60,96,-5271
61,96,-5270
61,95,-5269
60,95,-5268
59,95,-5267
59,94,-5266
60,94,-5265
60,93,-5264
59,93,-5263
59,92,-5262
60,92,-5261
61,92,-5260
61,93,-5259
61,94,-5258
62,94,-5257
62,95,-5256
62,96,-5255
62,97,-5254
61,97,-5253
61,98,-5252
62,98,-5251
62,99,-5250
61,99,-5249
61,100,-5248
60,100,-5247
60,101,-5246
61,101,-5245
62,101,-5244
62,102,-5243
61,102,-5242
60,102,-5241
60,103,-5240
61,103,-5239
62,103,-5238
62,104,-5237
62,105,-5236
63,105,-5235
63,104,-5234
63,103,-5233
63,102,-5232
63,101,-5231
63,100,-5230
63,99,-5229
63,98,-5228
64,98,-5227
64,99,-5226
64,100,-5225
64,101,-5224
64,102,-5223
64,103,-5222
64,104,-5221
64,105,-5220
64,106,-5219
63,106,-5218
63,107,-5217
62,107,-5216
62,108,-5215
61,108,-5214
61,109,-5213
61,110,-5212
60,110,-5211
60,111,-5210
60,112,-5209
60,113,-5208
61,113,-5207
61,112,-5206
61,111,-5205
62,111,-5204
62,110,-5203
62,109,-5202
63,109,-5201
63,108,-5200
64,108,-5199
64,107,-5198
65,107,-5197
65,106,-5196
65,105,-5195
66,105,-5194
66,106,-5193
66,107,-5192
66,108,-5191
67,108,-5190
67,109,-5189
67,110,-5188
66,110,-5187
66,111,-5186
65,111,-5185
65,110,-5184
65,109,-5183
64,109,-5182
64,110,-5181
64,111,-5180
63,111,-5179
63,112,-5178
62,112,-5177
62,113,-5176
62,114,-5175
62,115,-5174
63,115,-5173
63,114,-5172
63,113,-5171
64,113,-5170
64,112,-5169
65,112,-5168
66,112,-5167
66,113,-5166
66,114,-5165
65,114,-5164
64,114,-5163
64,115,-5162
65,115,-5161
65,116,-5160
64,116,-5159
63,116,-5158
62,116,-5157
62,117,-5156
62,118,-5155
62,119,-5154
62,120,-5153
62,121,-5152
63,121,-5151
63,120,-5150
63,119,-5149
63,118,-5148
63,117,-5147
64,117,-5146
64,118,-5145
64,119,-5144
65,119,-5143
65,120,-5142
64,120,-5141
64,121,-5140
64,122,-5139
63,122,-5138
63,123,-5137
62,123,-5136
62,122,-5135
61,122,-5134
61,123,-5133
61,124,-5132
61,125,-5131
62,125,-5130
62,124,-5129
63,124,-5128
63,125,-5127
63,126,-5126
63,127,-5125
62,127,-5124
62,128,-5123
63,128,-5122
63,129,-5121
64,129,-5120
65,129,-5119
65,128,-5118
64,128,-5117
64,127,-5116
64,126,-5115
64,125,-5114
65,125,-5113
65,126,-5112
65,127,-5111
66,127,-5110
66,126,-5109
66,125,-5108
66,124,-5107
65,124,-5106
64,124,-5105
64,123,-5104
65,123,-5103
66,123,-5102
66,122,-5101
65,122,-5100
65,121,-5099
66,121,-5098
66,120,-5097
67,120,-5096
67,121,-5095
67,122,-5094
68,122,-5093
68,121,-5092
68,120,-5091
68,119,-5090
67,119,-5089
66,119,-5088
66,118,-5087
65,118,-5086
65,117,-5085
66,117,-5084
66,116,-5083
66,115,-5082
67,115,-5081
67,116,-5080
67,117,-5079
67,118,-5078
68,118,-5077
68,117,-5076
68,116,-5075
68,115,-5074
68,114,-5073
67,114,-5072
67,113,-5071
67,112,-5070
67,111,-5069
68,111,-5068
68,112,-5067
69,112,-5066
69,113,-5065
69,114,-5064
69,115,-5063
69,116,-5062
69,117,-5061
69,118,-5060
70,118,-5059
70,117,-5058
70,116,-5057
70,115,-5056
71,115,-5055
72,115,-5054
72,114,-5053
71,114,-5052
70,114,-5051
70,113,-5050
70,112,-5049
71,112,-5048
71,113,-5047
72,113,-5046
72,112,-5045
72,111,-5044
71,111,-5043
70,111,-5042
69,111,-5041
69,110,-5040
68,110,-5039
68,109,-5038
69,109,-5037
69,108,-5036
68,108,-5035
68,107,-5034
67,107,-5033
67,106,-5032
67,105,-5031
68,105,-5030
68,104,-5029
68,103,-5028
67,103,-5027
67,104,-5026
66,104,-5025
65,104,-5024
65,103,-5023
66,103,-5022
66,102,-5021
67,102,-5020
68,102,-5019
68,101,-5018
67,101,-5017
66,101,-5016
65,101,-5015
65,100,-5014
66,100,-5013
66,99,-5012
67,99,-5011
67,100,-5010
68,100,-5009
68,99,-5008
68,98,-5007
67,98,-5006
66,98,-5005
65,98,-5004
65,97,-5003
64,97,-5002
64,96,-5001
63,96,-5000
63,95,-4999
64,95,-4998
64,94,-4997
63,94,-4996
63,93,-4995
62,93,-4994
62,92,-4993
62,91,-4992
61,91,-4991
61,90,-4990
60,90,-4989
60,89,-4988
61,89,-4987
61,88,-4986
62,88,-4985
62,87,-4984
62,86,-4983
62,85,-4982
63,85,-4981
63,84,-4980
63,83,-4979
64,83,-4978
64,84,-4977
64,85,-4976
64,86,-4975
63,86,-4974
63,87,-4973
64,87,-4972
65,87,-4971
65,88,-4970
64,88,-4969
63,88,-4968
63,89,-4967
62,89,-4966
62,90,-4965
63,90,-4964
64,90,-4963
64,89,-4962
65,89,-4961
65,90,-4960
66,90,-4959
66,89,-4958
66,88,-4957
66,87,-4956
66,86,-4955
65,86,-4954
65,85,-4953
65,84,-4952
65,83,-4951
65,82,-4950
65,81,-4949
65,80,-4948
65,79,-4947
64,79,-4946
63,79,-4945
62,79,-4944
61,79,-4943
61,78,-4942
